route_id,country,route_name,route_type,cities,recommended_nights,min_days,max_days,budget_level,fatigue_level,best_months,avoid_months,interests,region,why_route_fits,watch_out,source_name,source_type,source_url_or_query,collected_at,cleaned_at,confidence_level,data_limitations
SI002,Slovenia,Ljubljana Coast,single_country_multi_city,"Ljubljana,Bled,Piran",6,5,9,moderate,medium,"5,6,7,8,9","12,1,2","city,nature,beach,food",Southern Europe,"Slovenia variety: capital, alpine lake, Adriatic coast.",Piran tiny with limited accommodation. Book early. Coast less impressive than Croatian.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
SI003,Slovenia,Alpine Nature,single_country_multi_city,"Bled,Ljubljana,Postojna",5,4,8,moderate,low,"6,7,8,9","12,1,2,3","nature,hiking,photography,caves",Southern Europe,"Nature-focused Slovenia. Lakes, caves, mountains.",Hiking requires proper gear. Weather can change quickly in mountains.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
RO001,Romania,Bucharest Transylvania,single_country_multi_city,"Bucharest,Brasov,Sibiu",8,6,12,budget,medium,"5,6,9,10","12,1,2","history,culture,nature,castles",Eastern Europe,"Romania highlights: capital, Dracula country, medieval Sibiu. Great value.",Trains slower than Western Europe. Bran Castle overrated but touristy. Rural areas less English.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
RO002,Romania,Transylvania Loop,single_country_multi_city,"Brasov,Sibiu,Sighisoara",7,5,10,budget,medium,"5,6,9,10","12,1,2","history,medieval,culture,nature",Eastern Europe,"Medieval Transylvania circuit. Castles, fortified churches, Saxon heritage.","Best with car for flexibility. Public transport exists but slower. Sighisoara small, 1-2 nights enough.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
RO003,Romania,Bucharest Cluj,single_country_multi_city,"Bucharest,Brasov,Cluj-Napoca",9,7,14,budget,medium,"4,5,6,9,10","12,1,2","city,culture,history,nightlife",Eastern Europe,Romania's two major cities plus Transylvania. Urban and rural mix.,Long distances. Night train Bucharest-Cluj option. Cluj younger vibe than Bucharest.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
GE001,Georgia,Tbilisi Batumi,single_country_multi_city,"Tbilisi,Mtskheta,Batumi",8,6,12,budget,medium,"5,6,7,8,9","12,1,2","city,food,wine,beach",Caucasus,"Georgia highlights: capital, ancient churches, Black Sea. Unique culture and cuisine.","Visa-free for most. Language barrier outside Tbilisi. Batumi modern resort, not traditional.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
GE002,Georgia,Tbilisi Mountains,single_country_multi_city,"Tbilisi,Mtskheta,Kazbegi",7,5,10,budget,medium,"6,7,8,9","12,1,2,3","nature,hiking,culture,mountains",Caucasus,"Georgia mountain route. Tbilisi base, ancient Mtskheta, dramatic Kazbegi.",Kazbegi requires 4x4 or good weather. Mountain roads can be challenging. Altitude consideration.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
GE003,Georgia,Tbilisi Wine Route,single_country_one_city,"Tbilisi,Mtskheta",5,4,8,budget,low,"5,6,9,10","12,1,2","wine,food,culture,history",Caucasus,Tbilisi-based wine region exploration. Kakheti day trips. Low fatigue.,Wine tours require booking. Traditional qvevri wine unique taste. Toasting culture intense.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
AT001,Austria,Vienna Salzburg,single_country_multi_city,"Vienna,Salzburg,Hallstatt",8,6,12,comfortable,medium,"5,6,9,10","7,8,12,1","city,history,music,nature",Central Europe,"Classic Austria: imperial Vienna, Mozart's Salzburg, alpine Hallstatt.",Expensive country. Hallstatt tiny and over-touristed. Consider day trip from Salzburg.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
AT002,Austria,Vienna Innsbruck,single_country_multi_city,"Vienna,Salzburg,Innsbruck",9,7,14,comfortable,medium,"6,7,8,9,12,1",11,"city,nature,mountains,culture",Central Europe,Austria east to west. Cities and Alps. Winter option for Christmas markets or skiing.,Long distances. Innsbruck ski resort expensive. Summer hiking also excellent.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
AT003,Austria,Vienna Day Trips,single_country_one_city,"Vienna,Salzburg",6,5,10,comfortable,low,"4,5,6,9,10,12","7,8","city,history,music,culture",Central Europe,"Vienna base with Salzburg day trip or overnight. Low fatigue, high culture.",Vienna expensive. Museums require full days. Christmas markets November-December.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
HU001,Hungary,Budapest Eger,single_country_multi_city,"Budapest,Eger,Pécs",8,6,12,budget,medium,"4,5,6,9,10","7,8","city,history,wine,culture",Central Europe,"Hungary beyond Budapest. Wine region Eger, southern Pécs. Great value.",Pécs far south (3h from Budapest). Consider skipping if time limited. Eger wine cellars fun.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
HU002,Hungary,Budapest Balaton,single_country_multi_city,"Budapest,Lake Balaton,Eger",7,5,10,budget,low,"6,7,8,9","12,1,2,3","city,nature,beach,wine",Central Europe,Budapest plus lake resort and wine country. Summer beach option.,Balaton very local tourism. Not sea. Eger better for wine than Balaton region.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
HU003,Hungary,Budapest Base,single_country_one_city,"Budapest,Eger",5,4,8,budget,low,"3,4,5,6,9,10,12","7,8","city,history,culture,food",Central Europe,"Budapest focus with optional Eger day trip. Thermal baths, ruin bars, history.",Budapest very affordable. Thermal baths essential. Ruin bars in Jewish Quarter.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
CZ001,Czech Republic,Prague Cesky Krumlov,single_country_multi_city,"Prague,Cesky Krumlov,Brno",7,5,10,moderate,medium,"5,6,9,10","7,8,12","city,history,beer,culture",Central Europe,"Czech highlights: Prague castle, medieval Cesky Krumlov, modern Brno.","Cesky Krumlov tiny, 1-2 nights max. Very touristy. Brno underrated, good food scene.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
CZ002,Czech Republic,Prague Spa Towns,single_country_multi_city,"Prague,Karlovy Vary,Cesky Krumlov",8,6,12,moderate,medium,"5,6,9,10,12","7,8","city,history,spa,culture",Central Europe,Prague plus spa town and medieval gem. Mix of city and relaxation.,Karlovy Vary spa treatments optional. Beautiful architecture. Film festival in July.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
CZ003,Czech Republic,Prague Focus,single_country_one_city,"Prague,Karlovy Vary",5,4,8,moderate,low,"4,5,6,9,10,12","7,8","city,history,beer,culture",Central Europe,"Prague deep dive with spa town day trip. Low fatigue, high culture.",Prague extremely touristy. Stay outside Old Town for better value. Beer culture essential.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
CY001,Cyprus,Nicosia Paphos,single_country_multi_city,"Nicosia,Paphos,Limassol",7,5,10,moderate,low,"4,5,6,9,10","7,8","history,beach,archaeology,food",Southern Europe,"Cyprus highlights: divided capital, ancient Paphos, coastal Limassol.",Car essential. Driving on left (British influence). Very hot in summer. Beach season long.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
CY002,Cyprus,Coastal Route,single_country_multi_city,"Paphos,Limassol,Larnaca",6,5,9,moderate,low,"5,6,9,10","7,8","beach,food,relaxation,history",Southern Europe,Cyprus coast circuit. Beach resorts and archaeology. Relaxed pace.,Resort-heavy. Less authentic than mainland Greece. Good for beach and history combo.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
CY003,Cyprus,Paphos Base,single_country_one_city,"Paphos,Limassol",5,4,8,moderate,low,"4,5,6,9,10,11","7,8","beach,archaeology,food,relaxation",Southern Europe,"Paphos base with day trips. Archaeological sites, beaches, wine villages.",Paphos airport small but international. Car rental recommended. Akamas Peninsula beautiful.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
AL001,Albania,Tirana Berat South,single_country_multi_city,"Tirana,Berat,Saranda",8,6,12,budget,medium,"5,6,7,8,9","12,1,2","history,beach,culture,nature",Southern Europe,"Albania highlights: colorful capital, UNESCO Berat, Riviera beaches.",Infrastructure improving but basic. Cash needed outside cities. Albanian Riviera stunning value.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
AL002,Albania,UNESCO Route,single_country_multi_city,"Tirana,Berat,Gjirokaster",7,5,10,budget,medium,"5,6,9,10","12,1,2,7,8","history,culture,old_town,photography",Southern Europe,Albania's two UNESCO cities plus capital. Ottoman and communist heritage.,Roads improving. Gjirokaster stone city unique. Very affordable. Limited English outside Tirana.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
AL003,Albania,Tirana Riviera,single_country_multi_city,"Tirana,Berat,Saranda",8,6,12,budget,medium,"6,7,8,9","10,11,12,1,2","beach,history,food,nature",Southern Europe,"Albania capital, UNESCO city, and beach coast. Budget alternative to Croatia/Greece.",Saranda near Greek border. Ksamil beaches beautiful. Very budget-friendly. Cash culture.,TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-city routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC001,Austria-Hungary-Czech Republic,Vienna Budapest Prague,multi_country,"Vienna,Budapest,Prague",10,8,14,comfortable,medium,"4,5,6,9,10","7,8,12,1","city,history,culture,architecture",Central Europe,"Classic Central Europe triangle. Three imperial capitals with excellent train connections. Perfect introduction to the region.","Long train rides (3-4h each). Prague very touristy. Book accommodation early. Consider night train Vienna-Prague.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC002,Austria-Slovakia-Hungary,Vienna Bratislava Budapest,multi_country,"Vienna,Bratislava,Budapest",9,7,12,moderate,medium,"4,5,6,9,10","7,8,12,1","city,history,culture,food",Central Europe,"Danube capitals route. Bratislava often skipped but charming. Efficient connections. Great value in Bratislava and Budapest.","Bratislava small (1-2 nights enough). Vienna expensive. Budapest thermal baths essential. River cruises available.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC003,Croatia-Slovenia,Zagreb Ljubljana Bled,multi_country,"Zagreb,Ljubljana,Bled",8,6,12,moderate,medium,"5,6,9,10","7,8,12,1,2","city,nature,photography,culture",Southern Europe,"Balkan capitals and alpine beauty. Easy distances. Mix of urban and nature. Underrated route.","Bled very touristy. Consider Bohinj alternative. Ljubljana compact (2-3 nights). Zagreb underrated.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC004,Croatia-Montenegro-Albania,Dubrovnik Kotor Tirana,multi_country,"Dubrovnik,Kotor,Tirana",10,8,14,moderate,high,"5,6,9,10","7,8,12,1","beach,history,culture,nature",Southern Europe,"Adriatic coast adventure. Dubrovnik walls, Kotor fjord, Albanian Riviera. Stunning scenery but challenging logistics.","Border crossings add time. Dubrovnik very expensive. Kotor cruise ship crowds. Tirana requires bus (6h from Kotor).",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC005,Slovenia-Croatia,Ljubljana Zagreb Split,multi_country,"Ljubljana,Zagreb,Plitvice,Split",11,9,14,moderate,high,"5,6,9,10","7,8,12,1","nature,city,beach,photography",Southern Europe,"Slovenia to Dalmatian coast. Plitvice lakes highlight. Long route with diverse experiences.","Plitvice requires full day. Long bus Zagreb-Split (6h). Split base for islands. High fatigue route.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC006,Hungary-Austria,Budapest Vienna,multi_country,"Budapest,Vienna",7,5,10,comfortable,low,"4,5,6,9,10,12","7,8","city,history,music,culture",Central Europe,"Two imperial capitals. Easy 3h train. Perfect pairing of affordability (Budapest) and elegance (Vienna).","Vienna expensive. Budapest very affordable. Christmas markets excellent in both. Consider 3-4 nights each.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC007,Czech Republic-Austria,Prague Vienna,multi_country,"Prague,Vienna",8,6,12,comfortable,medium,"4,5,6,9,10,12","7,8","city,history,music,culture",Central Europe,"Prague castle to Vienna palaces. 4h train connection. Two of Europe's most beautiful capitals.","Both very touristy. Prague cheaper. Vienna museums world-class. Consider Cesky Krumlov stop between.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC008,Romania-Bulgaria,Bucharest Plovdiv Sofia,multi_country,"Bucharest,Plovdiv,Sofia",10,8,14,budget,medium,"5,6,9,10","12,1,2,7,8","history,culture,city,mountains",Eastern Europe,"Balkan capitals route. Excellent value. Plovdiv ancient Roman theater. Sofia mountain backdrop. Less touristy.","Border crossing adds time. Trains slower. English less common. Very affordable. Plovdiv European Capital of Culture 2019.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC009,Slovenia-Croatia-Bosnia,Ljubljana Zagreb Sarajevo,multi_country,"Ljubljana,Zagreb,Plitvice,Sarajevo",12,10,16,moderate,high,"5,6,9,10","12,1,2,7,8","history,culture,nature,city",Southern Europe,"Ambitious Balkan route. Plitvice lakes, Sarajevo's complex history. Diverse cultures and religions.","Long distances. Sarajevo 6h from Zagreb. Border crossings. Sarajevo fascinating but requires sensitivity. High fatigue.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
MC010,Hungary-Romania,Budapest Brasov Bucharest,multi_country,"Budapest,Brasov,Bucharest",11,9,14,budget,medium,"5,6,9,10","12,1,2,7,8","city,history,castles,culture",Eastern Europe,"Hungary to Transylvania to Romania capital. Dracula country. Great value. Diverse experiences.","Long train rides. Night train Budapest-Brasov option. Bran Castle touristy. Brasov charming base for castles.",TravelScan Curated Route Base,curated_route_knowledge,Expert-curated multi-country routes,2026-05-28,2026-05-28,planning_guidance,Not live transport schedules or prices; planning-level route design
